id,tool,clock_period,pipeline,pipeline_ii,memory_policy,channels_type,channels_number,num_control_steps,num_states,max_freq_mhz,min_slack,total_area,area_no_mux,mux_area,num_dsps,num_ffs,num_modules,num_registers,num_muxes,runtime_s,success,strategy,benchmark,error_type,pruned_by_autophagy
0,bambu,5,False,,ALL_BRAM,MEM_ACC_11,1,18.0,16.0,225.6012271179886,0.5673999970000001,445.0,375.0,70.0,3.0,451.0,41.0,17.0,8.0,19.84,True,PA-DSE,matmul,,False
2,bambu,5,False,,ALL_BRAM,MEM_ACC_N1,1,18.0,16.0,225.6012271179886,0.5673999970000001,445.0,375.0,70.0,3.0,451.0,41.0,17.0,8.0,20.95,True,PA-DSE,matmul,,False
3,bambu,5,False,,ALL_BRAM,MEM_ACC_N1,2,18.0,16.0,225.6012271179886,0.5673999970000001,445.0,375.0,70.0,3.0,451.0,41.0,17.0,8.0,20.25,True,PA-DSE,matmul,,False
5,bambu,5,False,,ALL_BRAM,MEM_ACC_NN,2,17.0,15.0,225.6012271179886,0.5673999970000001,444.0,376.0,68.0,3.0,451.0,42.0,17.0,6.0,20.51,True,PA-DSE,matmul,,False
6,bambu,5,False,,NO_BRAM,MEM_ACC_11,1,15.0,17.0,225.6012271179886,0.5673999970000001,545.0,441.0,104.0,3.0,451.0,41.0,17.0,11.0,21.07,True,PA-DSE,matmul,,False
8,bambu,5,False,,NO_BRAM,MEM_ACC_N1,1,15.0,17.0,225.6012271179886,0.5673999970000001,545.0,441.0,104.0,3.0,451.0,41.0,17.0,11.0,21.03,True,PA-DSE,matmul,,False
9,bambu,5,False,,NO_BRAM,MEM_ACC_N1,2,15.0,17.0,225.6012271179886,0.5673999970000001,545.0,441.0,104.0,3.0,451.0,41.0,17.0,11.0,21.34,True,PA-DSE,matmul,,False
11,bambu,5,False,,NO_BRAM,MEM_ACC_NN,2,14.0,15.0,225.6012271179886,0.5673999970000001,781.0,642.0,139.0,3.0,451.0,42.0,17.0,10.0,20.79,True,PA-DSE,matmul,,False
12,bambu,8,False,,ALL_BRAM,MEM_ACC_11,1,14.0,12.0,157.39108536892473,1.646400000000001,445.0,375.0,70.0,3.0,387.0,41.0,15.0,8.0,21.56,True,PA-DSE,matmul,,False
14,bambu,8,False,,ALL_BRAM,MEM_ACC_N1,1,14.0,12.0,157.39108536892473,1.646400000000001,445.0,375.0,70.0,3.0,387.0,41.0,15.0,8.0,20.82,True,PA-DSE,matmul,,False
15,bambu,8,False,,ALL_BRAM,MEM_ACC_N1,2,14.0,12.0,157.39108536892473,1.646400000000001,445.0,375.0,70.0,3.0,387.0,41.0,15.0,8.0,21.33,True,PA-DSE,matmul,,False
17,bambu,8,False,,ALL_BRAM,MEM_ACC_NN,2,13.0,11.0,152.79772636983157,1.4553999999999985,444.0,376.0,68.0,3.0,355.0,42.0,14.0,6.0,21.99,True,PA-DSE,matmul,,False
