id,tool,clock_period,pipeline,pipeline_ii,memory_policy,channels_type,channels_number,num_control_steps,num_states,max_freq_mhz,min_slack,total_area,area_no_mux,mux_area,num_dsps,num_ffs,num_modules,num_registers,num_muxes,runtime_s,success,strategy
163,bambu,10,True,4.0,NO_BRAM,MEM_ACC_11,2,,,,,,,,,,,,,3.6,False,Random 30%
28,bambu,10,False,,ALL_BRAM,MEM_ACC_NN,1,10.0,8.0,101.83090948803952,0.17979899200002447,360.0,256.0,104.0,0.0,257.0,48.0,9.0,6.0,19.55,False,Random 30%
6,bambu,5,False,,NO_BRAM,MEM_ACC_11,1,12.0,14.0,218.40737328982172,0.4213999969999993,459.0,322.0,137.0,0.0,340.0,48.0,16.0,8.0,20.77,True,Random 30%
189,bambu,15,True,2.0,NO_BRAM,MEM_ACC_N1,2,10.0,12.0,105.18785437483075,5.493198991999983,,,,,,,,,14.9,False,Random 30%
70,bambu,5,True,1.0,NO_BRAM,MEM_ACC_NN,1,12.0,14.0,218.40737328982172,0.4213999969999993,,,,,,,,,19.95,False,Random 30%
62,bambu,5,True,1.0,ALL_BRAM,MEM_ACC_N1,1,14.0,12.0,218.40737328982172,0.4213999969999993,,,,,,,,,20.66,False,Random 30%
57,bambu,20,False,,NO_BRAM,MEM_ACC_N1,2,10.0,12.0,105.18785437483076,10.493198991999984,460.0,322.0,138.0,0.0,322.0,48.0,12.0,9.0,20.95,True,Random 30%
35,bambu,10,False,,NO_BRAM,MEM_ACC_NN,2,10.0,12.0,105.2210583069063,0.49619899200002604,527.0,389.0,138.0,0.0,322.0,48.0,12.0,9.0,21.37,True,Random 30%
188,bambu,15,True,2.0,NO_BRAM,MEM_ACC_N1,1,10.0,12.0,105.18785437483075,5.493198991999983,,,,,,,,,21.24,False,Random 30%
26,bambu,10,False,,ALL_BRAM,MEM_ACC_N1,1,10.0,8.0,103.85077631770244,0.370798992000027,360.0,256.0,104.0,0.0,257.0,48.0,9.0,6.0,20.53,True,Random 30%
173,bambu,15,True,1.0,ALL_BRAM,MEM_ACC_NN,2,10.0,8.0,86.40651789498406,3.4267989919999957,,,,,,,,,21.83,False,Random 30%
236,bambu,20,True,4.0,NO_BRAM,MEM_ACC_N1,1,10.0,12.0,105.18785437483076,10.493198991999984,,,,,,,,,18.37,False,Random 30%
139,bambu,10,True,1.0,NO_BRAM,MEM_ACC_11,2,,,,,,,,,,,,,3.92,False,Random 30%
22,bambu,8,False,,NO_BRAM,MEM_ACC_NN,1,11.0,13.0,156.88240749624057,1.6257989920000224,527.0,389.0,138.0,0.0,354.0,48.0,13.0,9.0,20.55,False,Random 30%
151,bambu,10,True,2.0,NO_BRAM,MEM_ACC_11,2,,,,,,,,,,,,,3.92,False,Random 30%
108,bambu,8,True,2.0,ALL_BRAM,MEM_ACC_11,1,11.0,9.0,128.92911470620749,0.24379999600002233,,,,,,,,,18.25,False,Random 30%
8,bambu,5,False,,NO_BRAM,MEM_ACC_N1,1,12.0,14.0,218.40737328982172,0.4213999969999993,459.0,322.0,137.0,0.0,340.0,48.0,16.0,8.0,19.11,True,Random 30%
7,bambu,5,False,,NO_BRAM,MEM_ACC_11,2,,,,,,,,,,,,,4.69,False,Random 30%
23,bambu,8,False,,NO_BRAM,MEM_ACC_NN,2,11.0,13.0,156.88240749624057,1.6257989920000224,527.0,389.0,138.0,0.0,354.0,48.0,13.0,9.0,19.65,True,Random 30%
55,bambu,20,False,,NO_BRAM,MEM_ACC_11,2,,,,,,,,,,,,,5.64,False,Random 30%
59,bambu,20,False,,NO_BRAM,MEM_ACC_NN,2,10.0,12.0,105.22105830690582,10.496198991999984,527.0,389.0,138.0,0.0,322.0,48.0,12.0,9.0,18.32,True,Random 30%
129,bambu,8,True,4.0,NO_BRAM,MEM_ACC_N1,2,11.0,13.0,156.88240749624057,1.6257989920000224,,,,,,,,,21.73,False,Random 30%
154,bambu,10,True,2.0,NO_BRAM,MEM_ACC_NN,1,10.0,12.0,105.2210583069063,0.49619899200002604,,,,,,,,,20.77,False,Random 30%
237,bambu,20,True,4.0,NO_BRAM,MEM_ACC_N1,2,10.0,12.0,105.18785437483076,10.493198991999984,,,,,,,,,21.18,False,Random 30%
143,bambu,10,True,1.0,NO_BRAM,MEM_ACC_NN,2,10.0,12.0,105.2210583069063,0.49619899200002604,,,,,,,,,18.19,False,Random 30%
50,bambu,20,False,,ALL_BRAM,MEM_ACC_N1,1,10.0,8.0,87.85646987758756,8.617798991999985,359.0,256.0,103.0,0.0,225.0,48.0,8.0,5.0,21.56,True,Random 30%
183,bambu,15,True,2.0,ALL_BRAM,MEM_ACC_N1,2,10.0,8.0,87.85646987758764,3.617798991999998,,,,,,,,,21.39,False,Random 30%
166,bambu,10,True,4.0,NO_BRAM,MEM_ACC_NN,1,10.0,12.0,105.2210583069063,0.49619899200002604,,,,,,,,,18.54,False,Random 30%
179,bambu,15,True,1.0,NO_BRAM,MEM_ACC_NN,2,10.0,12.0,105.2210583069058,5.496198991999983,,,,,,,,,18.97,False,Random 30%
227,bambu,20,True,2.0,NO_BRAM,MEM_ACC_NN,2,10.0,12.0,105.22105830690582,10.496198991999984,,,,,,,,,19.06,False,Random 30%
